INDEX:1000:<ulong>,origin_z:1000:<float>,intersect_x:1000:<float>,intersect_y:1000:<float>,idx_x:1000:<float>,idx_y:1000:<float>,value:1000:<float>,time:1000:<float>,gt_intersect_x:1000:<float>,gt_intersect_y:1000:<float>
180,-32,65,-35,13,0,-0.502524375916,13,73.2086486816,-42.2163887024
181,-31.8999996185,65,-35,13,0,-0.502524375916,13,73.0761642456,-42.132019043
182,-31.7999992371,65,-35,13,0,-0.502524375916,13,72.9439468384,-42.0472335815
183,-31.6999988556,65,-35,13,0,-0.502524375916,13,72.8119735718,-41.9620170593
184,-31.6000003815,65,-35,13,0,-0.502524375916,13,72.6802825928,-41.8764038086
185,-31.5,65,-35,13,0,-0.502524375916,13,72.5488510132,-41.7903633118
186,-31.3999996185,65,-35,13,0,-0.502524375916,13,72.4177093506,-41.7039222717
187,-31.2999992371,65,-35,13,0,-0.502524375916,13,72.2868347168,-41.6170692444
188,-31.1999988556,65,-35,13,0,-0.502524375916,13,72.156211853,-41.5297927856
189,-31.1000003815,65,-35,13,0,-0.502524375916,13,72.0258865356,-41.4421157837
190,-31,65,-35,13,0,-0.502524375916,13,71.8958435059,-41.3540344238
191,-30.8999996185,65,-35,13,0,-0.502524375916,13,71.7660522461,-41.2655334473
192,-30.7999992371,65,-35,13,0,-0.502524375916,13,71.6365585327,-41.1766357422
193,-30.6999988556,65,-35,13,0,-0.502524375916,13,71.5073242188,-41.0873184204
194,-30.6000003815,65,-35,13,0,-0.502524375916,13,71.3783950806,-40.9976081848
195,-30.5,65,-35,13,0,-0.502524375916,13,71.24974823,-40.9074935913
196,-30.3999996185,65,-35,13,0,-0.502524375916,13,71.1213607788,-40.8169593811
197,-30.2999992371,65,-35,13,0,-0.502524375916,13,70.9932861328,-40.7260437012
198,-30.1999988556,65,-35,13,0,-0.502524375916,13,70.8654708862,-40.6347045898
199,-30.1000003815,65,-35,13,0,-0.502524375916,13,70.7379608154,-40.5429801941
200,-30,65,-30,13,0,-3.90227794647,13,70.610748291,-40.4508552551
201,-29.8999996185,65,-30,13,0,-3.90227794647,13,70.4838027954,-40.3583183289
202,-29.7999992371,65,-30,13,0,-3.90227794647,13,70.3571624756,-40.2653999329
203,-29.6999988556,65,-30,13,0,-3.90227794647,13,70.2308044434,-40.1720657349
