kernel;n_rays;time;Rps;Rps/Eur;Rps/W;n_blocks;n_threads
OpenVDB;529;0.000279422;1.89319e+06;575.439;12621.3;1;1
NanoVDB_CPU;529;8.8873e-05;5.95231e+06;1809.21;39682.1;1;1
NanoVDB_GPU;529;0.000202403;2.6136e+06;1045.44;37337.1;256;256
OpenVDB;576;0.000297955;1.93318e+06;587.592;12887.9;1;1
NanoVDB_CPU;576;6.8459e-05;8.4138e+06;2557.38;56092;1;1
NanoVDB_GPU;576;0.000202304;2.8472e+06;1138.88;40674.3;256;256
OpenVDB;676;0.000301397;2.24289e+06;681.729;14952.6;1;1
NanoVDB_CPU;676;9.7108e-05;6.96132e+06;2115.9;46408.8;1;1
NanoVDB_GPU;676;0.000200869;3.36538e+06;1346.15;48076.8;256;256
OpenVDB;729;0.000271805;2.68207e+06;815.219;17880.5;1;1
NanoVDB_CPU;729;0.000171547;4.24956e+06;1291.66;28330.4;1;1
NanoVDB_GPU;729;0.000196865;3.70304e+06;1481.22;52900.6;256;256
OpenVDB;841;0.000269249;3.1235e+06;949.393;20823.4;1;1
NanoVDB_CPU;841;7.7408e-05;1.08645e+07;3302.28;72430.1;1;1
NanoVDB_GPU;841;0.000208092;4.04148e+06;1616.59;57735.5;256;256
OpenVDB;961;0.000290315;3.3102e+06;1006.14;22068;1;1
NanoVDB_CPU;961;8.0519e-05;1.19351e+07;3627.68;79567.1;1;1
NanoVDB_GPU;961;0.000205916;4.66696e+06;1866.78;66670.9;256;256
OpenVDB;1089;0.00024887;4.37578e+06;1330.02;29171.9;1;1
NanoVDB_CPU;1089;8.5545e-05;1.27301e+07;3869.34;84867.6;1;1
NanoVDB_GPU;1089;0.000218991;4.9728e+06;1989.12;71040.1;256;256
OpenVDB;1225;0.000268906;4.5555e+06;1384.65;30370;1;1
NanoVDB_CPU;1225;9.3879e-05;1.30487e+07;3966.17;86991.4;1;1
NanoVDB_GPU;1225;0.000201137;6.09037e+06;2436.15;87005.3;256;256
OpenVDB;1369;0.000248126;5.51736e+06;1677.01;36782.4;1;1
NanoVDB_CPU;1369;9.8671e-05;1.38744e+07;4217.14;92495.9;1;1
