x;y;z
-0.5;-0.3;7;38.169
-0.5;-0.3;7;38.169
-0.5;-0.3;7;38.169
-0.5;-0.3;7;38.169
-0.5;-0.3;7;38.169
-0.4;-0.3;7;38.169
-0.4;-0.3;7;38.169
-0.4;-0.4;7;38.169
-0.4;-0.4;7;38.169
-0.4;-0.4;7;38.169
-0.4;-0.4;7;38.169
-0.4;-0.4;7;38.169
-0.4;-0.4;7;38.169
-0.4;-0.4;7;38.169
-0.3;-0.4;7;38.169
-0.3;-0.4;7;38.169
-0.3;-0.5;7;38.169
-0.3;-0.5;7;38.169
-0.3;-0.5;7;38.169
-0.3;-0.5;7;38.169
-0.3;-0.5;7;38.169
-0.2;-0.5;7;38.169
-0.2;-0.5;7;38.169
-0.2;-0.5;7;38.169
-0.2;-0.5;7;38.169
-0.2;-0.5;7;38.169
-0.2;-0.5;7;38.169
-0.1;-0.5;7;38.169
-0.1;-0.5;7;38.169
-0.1;-0.5;7;38.169
-0.1;-0.5;7;38.169
-0.1;-0.5;7;38.169
-0.1;-0.5;7;38.169
0;-0.5;7;38.169
0;-0.5;7;38.169
0;-0.5;7;38.169
0;-0.5;7;38.169
0;-0.5;7;38.169
0;-0.5;7;38.169
0.1;-0.5;7;38.169
0.1;-0.5;7;38.169
0.1;-0.5;7;38.169
0.1;-0.5;7;38.169
0.1;-0.5;7;38.169
0.1;-0.5;7;38.169
0.2;-0.5;7;38.169
0.2;-0.5;7;38.169
0.2;-0.5;7;38.169
0.2;-0.5;7;38.169
